Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002M-1R-1, 85.0 cm",NULL,475.85,475.85,475.85,475.85,"C0002M-1R-1, 86.0 cm",NULL,475.86,475.86,475.86,475.86,"C0002M-1R-1 W, 85.0--86.0 cm",CKY000000000006092600,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T04:49:35Z,NULL,19.1181,8.5792,32.3024,13.1843,29.273,12.3823,10.1549,3.1393,3.0657,3.7531,6.8188,3.8031,0.1099,0.05,10.045,0.2381,0.3125,1.9335,1.4731,2.6765,0.4496,0.8168,fuway,2013-12-09T05:03:46Z
"C0002M-1R-1, 136.0 cm",NULL,476.36,476.36,476.36,476.36,"C0002M-1R-1, 138.0 cm",NULL,476.38,476.38,476.38,476.38,"C0002M-1R-1 W, 136.0--138.0 cm",CKY000000000006092300,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T04:42:41Z,NULL,19.3436,8.7168,36.7793,17.4357,32.4441,13.5462,13.1005,4.4924,4.3871,4.7579,9.145,4.8294,0.1572,0.0715,12.9433,0.2577,0.3471,1.9066,1.4153,2.7204,0.4797,0.9221,fuway,2013-12-09T05:03:46Z
"C0002M-1R-2, 63.0 cm",NULL,477.04,477.04,477.04,477.04,"C0002M-1R-2, 65.0 cm",NULL,477.06,477.06,477.06,477.06,"C0002M-1R-2 W, 63.0--65.0 cm",CKY000000000006093100,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T05:04:44Z,NULL,18.7054,8.4181,40.0565,21.3511,34.9943,14.4987,16.2889,5.2458,5.1229,5.9971,11.12,6.0806,0.1836,0.0835,16.1053,0.2457,0.3257,1.9201,1.4483,2.6855,0.4607,0.8542,fuway,2013-12-09T05:03:46Z
"C0002M-1R-2, 130.0 cm",NULL,477.71,477.71,477.71,477.71,"C0002M-1R-2, 131.0 cm",NULL,477.72,477.72,477.72,477.72,"C0002M-1R-2 W, 130.0--131.0 cm",CKY000000000006093000,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T04:59:48Z,NULL,18.8729,8.4882,32.1019,13.229,29.2454,12.3525,10.3725,2.9601,2.8907,3.8172,6.7079,3.8643,0.1036,0.0471,10.2689,0.2238,0.2883,1.9722,1.5309,2.6902,0.4309,0.7573,fuway,2013-12-09T05:03:46Z
"C0002M-1R-3, 24.0 cm",NULL,478.07,478.07,478.07,478.07,"C0002M-1R-3, 27.0 cm",NULL,478.1,478.1,478.1,478.1,"C0002M-1R-3 W, 24.0--27.0 cm",CKY000000000006093900,PP,NULL,15,yabukit,NULL,CKY,2013-12-07T06:05:01Z,NULL,18.6809,8.4544,40.4665,21.7856,34.8491,14.4227,16.1682,5.8211,5.6847,5.8757,11.5604,5.9683,0.2037,0.0926,15.9645,0.2672,0.3646,1.8845,1.381,2.717,0.4917,0.9675,fuway,2013-12-09T05:03:46Z
"C0002M-1R-3, 87.0 cm",NULL,478.7,478.7,478.7,478.7,"C0002M-1R-3, 90.0 cm",NULL,478.73,478.73,478.73,478.73,"C0002M-1R-3 W, 87.0--90.0 cm",CKY000000000006093500,PP,NULL,15,yabukit,NULL,CKY,2013-12-07T05:44:08Z,NULL,18.8658,8.4878,33.5753,14.7095,29.9299,12.5705,11.0641,3.7776,3.6891,4.0226,7.7117,4.0827,0.1322,0.0601,10.9319,0.2568,0.3456,1.9074,1.4176,2.7176,0.4784,0.9171,fuway,2013-12-09T05:03:46Z
"C0002M-1R-4, 43.0 cm",NULL,479.67,479.67,479.67,479.67,"C0002M-1R-4, 45.0 cm",NULL,479.69,479.69,479.69,479.69,"C0002M-1R-4 W, 43.0--45.0 cm",CKY000000000006094200,PP,NULL,15,broderick348,NULL,CKY,2013-12-07T13:17:04Z,NULL,18.8115,8.4707,38.006,19.1945,32.9473,13.712,14.1358,5.2422,5.1193,5.1579,10.2772,5.2413,0.1835,0.0834,13.9523,0.2731,0.3757,1.8677,1.3576,2.705,0.4981,0.9925,fuway,2013-12-09T05:03:46Z
"C0002M-2R-1, 26.0 cm",NULL,484.76,484.76,484.76,484.76,"C0002M-2R-1, 29.0 cm",NULL,484.79,484.79,484.79,484.79,"C0002M-2R-1 W, 26.0--29.0 cm",CKY000000000006096100,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T11:30:06Z,NULL,18.8976,8.5384,36.3533,17.4557,32.0875,13.29,13.1899,4.4205,4.3169,4.6813,8.9982,4.7516,0.1547,0.0703,13.0352,0.2532,0.3391,1.9399,1.4486,2.7845,0.4798,0.9222,fuway,2013-12-09T05:03:46Z
"C0002M-2R-1, 106.0 cm",NULL,485.56,485.56,485.56,485.56,"C0002M-2R-1, 108.0 cm",NULL,485.58,485.58,485.58,485.58,"C0002M-2R-1 W, 106.0--108.0 cm",CKY000000000006095400,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T11:12:59Z,NULL,18.8474,8.4534,37.5719,18.7245,33.1931,13.6598,14.3457,4.5376,4.4313,5.1342,9.5655,5.2064,0.1588,0.0722,14.1869,0.2423,0.3198,1.9575,1.4831,2.7632,0.4633,0.8631,fuway,2013-12-09T05:03:46Z
"C0002M-2R-2, 46.0 cm",NULL,486.37,486.37,486.37,486.37,"C0002M-2R-2, 48.0 cm",NULL,486.39,486.39,486.39,486.39,"C0002M-2R-2 W, 46.0--48.0 cm",CKY000000000006096400,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T11:35:47Z,NULL,18.7398,8.4241,42.489,23.7492,36.6007,14.9598,17.8609,6.1019,5.9589,6.4386,12.3975,6.5357,0.2136,0.0971,17.6473,0.2569,0.3458,1.9156,1.4235,2.7409,0.4807,0.9255,fuway,2013-12-09T05:03:46Z
